Befragte,Zeitraum,Partei,Ergebnis,Tag,Monat,Jahr,Art,Region,Institut,Datum
1064.0,09.02.–20.02.,CDU/CSU,32.0,21,2,2025,Umfrage,Deutschland,Allensbach,2025-02-21
1021.0,31.01.–12.02.,CDU/CSU,32.0,13,2,2025,Umfrage,Deutschland,Allensbach,2025-02-13
1015.0,07.01.–19.01.,CDU/CSU,34.0,23,1,2025,Umfrage,Deutschland,Allensbach,2025-01-23
1006.0,30.11.–12.12.,CDU/CSU,36.0,20,12,2024,Umfrage,Deutschland,Allensbach,2024-12-20
1049.0,02.11.–14.11.,CDU/CSU,37.0,22,11,2024,Umfrage,Deutschland,Allensbach,2024-11-22
1041.0,28.09.–11.10.,CDU/CSU,36.0,18,10,2024,Umfrage,Deutschland,Allensbach,2024-10-18
1017.0,29.08.–11.09.,CDU/CSU,35.5,19,9,2024,Umfrage,Deutschland,Allensbach,2024-09-19
1051.0,03.08.–15.08.,CDU/CSU,34.0,22,8,2024,Umfrage,Deutschland,Allensbach,2024-08-22
1003.0,05.07.–19.07.,CDU/CSU,32.0,25,7,2024,Umfrage,Deutschland,Allensbach,2024-07-25
1084.0,01.06.–13.06.,CDU/CSU,32.0,20,6,2024,Umfrage,Deutschland,Allensbach,2024-06-20
1093.0,04.05.–16.05.,CDU/CSU,32.5,24,5,2024,Umfrage,Deutschland,Allensbach,2024-05-24
1041.0,05.04.–18.04.,CDU/CSU,32.5,26,4,2024,Umfrage,Deutschland,Allensbach,2024-04-26
1027.0,01.03.–14.03.,CDU/CSU,34.0,21,3,2024,Umfrage,Deutschland,Allensbach,2024-03-21
1053.0,03.02.–15.02.,CDU/CSU,32.0,22,2,2024,Umfrage,Deutschland,Allensbach,2024-02-22
1018.0,05.01.–18.01.,CDU/CSU,34.0,25,1,2024,Umfrage,Deutschland,Allensbach,2024-01-25
1013.0,01.12.–14.12.,CDU/CSU,34.0,21,12,2023,Umfrage,Deutschland,Allensbach,2023-12-21
1047.0,03.11.–16.11.,CDU/CSU,32.0,23,11,2023,Umfrage,Deutschland,Allensbach,2023-11-23
1010.0,06.10.–19.10.,CDU/CSU,34.0,25,10,2023,Umfrage,Deutschland,Allensbach,2023-10-25
1030.0,04.09.–15.09.,CDU/CSU,30.0,21,9,2023,Umfrage,Deutschland,Allensbach,2023-09-21
1026.0,04.08.–16.08.,CDU/CSU,29.0,23,8,2023,Umfrage,Deutschland,Allensbach,2023-08-23
1011.0,07.07.–19.07.,CDU/CSU,29.0,27,7,2023,Umfrage,Deutschland,Allensbach,2023-07-27
1039.0,09.06.–22.06.,CDU/CSU,31.0,29,6,2023,Umfrage,Deutschland,Allensbach,2023-06-29
1001.0,28.04.–10.05.,CDU/CSU,32.0,18,5,2023,Umfrage,Deutschland,Allensbach,2023-05-18
1007.0,03.04.–18.04.,CDU/CSU,31.0,26,4,2023,Umfrage,Deutschland,Allensbach,2023-04-26
1101.0,02.03.–15.03.,CDU/CSU,31.0,23,3,2023,Umfrage,Deutschland,Allensbach,2023-03-23
